	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0	0.2583	0.2311	0.2397	0.5345	0.1627	0.4660	2.5635	0.2563	
NMF_[1, 1]	0	0.2866	0.2870	0.2870	0.6375	0.2051	0.5050	2.2103	0.2210	
PF_[1, 1]	0	0.2675	0.1193	0.1722	0.5590	0.2064	0.3179	5.4161	0.5416	
TF_[1, 1]	0	0.2571	0.2349	0.2349	0.4984	0.1542	0.4620	2.5972	0.2597	
BL_[1, 1]	0	0.2570	0.2349	0.2349	0.5000	0.1525	0.4647	2.5571	0.2557	
nMMSBM_[1, 1]	0	0.2786	0.1762	0.2279	0.5823	0.2002	0.4163	3.6927	0.3693	
nMMSBM_[1, 1]	1	0.2788	0.1729	0.2288	0.5826	0.1999	0.4179	3.6742	0.3674	
nMMSBM_[1, 1]	2	0.2784	0.1697	0.2248	0.5810	0.1999	0.4151	3.6916	0.3692	
nMMSBM_[1, 1]	3	0.2799	0.1711	0.2303	0.5824	0.2013	0.4190	3.6746	0.3675	
nMMSBM_[1, 1]	4	0.2787	0.1743	0.2276	0.5804	0.1988	0.4166	3.6896	0.3690	
nMMSBM_[1, 1]	5	0.2793	0.1756	0.2288	0.5816	0.2000	0.4174	3.6861	0.3686	
nMMSBM_[1, 1]	6	0.2789	0.1703	0.2282	0.5811	0.1995	0.4173	3.6872	0.3687	
nMMSBM_[1, 1]	7	0.2801	0.1626	0.2272	0.5822	0.2010	0.4167	3.6840	0.3684	
nMMSBM_[1, 1]	8	0.2800	0.1669	0.2272	0.5825	0.2005	0.4174	3.6753	0.3675	
nMMSBM_[1, 1]	9	0.2791	0.1663	0.2234	0.5804	0.2001	0.4149	3.6887	0.3689	
nMMSBM_[1, 1]	10	0.2786	0.1758	0.2284	0.5811	0.1992	0.4170	3.7003	0.3700	
nMMSBM_[1, 1]	11	0.2790	0.1726	0.2271	0.5826	0.2022	0.4173	3.6789	0.3679	
nMMSBM_[1, 1]	12	0.2779	0.1722	0.2251	0.5807	0.2003	0.4153	3.6879	0.3688	
nMMSBM_[1, 1]	13	0.2781	0.1694	0.2266	0.5809	0.2006	0.4160	3.6954	0.3695	
nMMSBM_[1, 1]	14	0.2797	0.1746	0.2299	0.5833	0.2016	0.4188	3.6761	0.3676	
nMMSBM_[1, 1]	15	0.2788	0.1728	0.2271	0.5823	0.2003	0.4166	3.6834	0.3683	
nMMSBM_[1, 1]	16	0.2800	0.1732	0.2277	0.5817	0.2004	0.4177	3.6791	0.3679	
nMMSBM_[1, 1]	17	0.2777	0.1636	0.2277	0.5811	0.2001	0.4165	3.6879	0.3688	
nMMSBM_[1, 1]	18	0.2781	0.1746	0.2300	0.5815	0.2003	0.4178	3.6871	0.3687	
nMMSBM_[1, 1]	19	0.2807	0.1750	0.2292	0.5837	0.2030	0.4192	3.6661	0.3666	
nMMSBM_[1, 1]	20	0.2777	0.1741	0.2267	0.5809	0.1996	0.4158	3.6961	0.3696	
nMMSBM_[1, 1]	21	0.2774	0.1749	0.2287	0.5817	0.2007	0.4172	3.6921	0.3692	
KNN_[1, 1]	0	0.2600	0.1346	0.1913	0.5486	0.1696	0.3327	5.3628	0.5363	
Rand_[1, 1]	0	0.2570	0.0284	0.0993	0.4985	0.1516	0.2918	4.5153	0.4515	
